soil,time,metric,value,error
Sandy soil,0,H2O2,483.88,56.64
Sandy soil,0.5,H2O2,609.71,17.85
Sandy soil,1,H2O2,767.16,92.27
Sandy soil,3,H2O2,760.63,131.09
Sandy soil,6,H2O2,564.88,135.39
Sandy soil,9,H2O2,419.37,50.71
Sandy soil,12,H2O2,469.98,94.23
Sandy soil,24,H2O2,467.89,110.99
Sandy soil,48,H2O2,485.26,52.16
Paddy soil,0,H2O2,502.54,45.25
Paddy soil,0.5,H2O2,1094.68,52.48
Paddy soil,1,H2O2,850,119.74
Paddy soil,3,H2O2,792.37,111.71
Paddy soil,6,H2O2,844.1,12.44
Paddy soil,9,H2O2,790.53,65.43
Paddy soil,12,H2O2,914.67,114.02
Paddy soil,24,H2O2,795.05,138.18
Paddy soil,48,H2O2,685.21,85.25
Sandy soil,0,OH radical,1.62,0.13
Sandy soil,0.25,OH radical,5.13,0.27
Sandy soil,0.5,OH radical,5.08,0.69
Sandy soil,1,OH radical,4.67,0.27
Sandy soil,3,OH radical,4.57,0.28
Sandy soil,6,OH radical,3.68,0.25
Sandy soil,9,OH radical,3.21,0.23
Sandy soil,12,OH radical,3.19,0.05
Sandy soil,24,OH radical,2.68,0.43
Sandy soil,48,OH radical,2.45,0.36
Paddy soil,0,OH radical,4.27,0.42
Paddy soil,0.25,OH radical,5.21,0.52
Paddy soil,0.5,OH radical,5.98,0.57
Paddy soil,1,OH radical,5.95,0.41
Paddy soil,3,OH radical,6.45,0.37
Paddy soil,6,OH radical,5.49,0.12
Paddy soil,9,OH radical,5.7,0.28
Paddy soil,12,OH radical,5.35,0.11
Paddy soil,24,OH radical,5.02,0.23
Paddy soil,48,OH radical,4.69,0.39
