soil,treatment,metric,value,error,original_value,response_index
Sandy soil,Original,DOC,205.46,1.14,205.46,1
Sandy soil,Rewetting,DOC,177.86,0.47,205.46,0.8656672831694734
Sandy soil,Sterilized,DOC,211.76,0.4,205.46,1.030662902754794
Sandy soil,Sterilized rewetting,DOC,185.92,1.76,205.46,0.9048963301859242
Sandy soil,OH-treated,DOC,150.82,0.68,205.46,0.7340601576949284
Paddy soil,Original,DOC,335.44,6.16,335.44,1
Paddy soil,Rewetting,DOC,188.72,2.48,335.44,0.5626043405676127
Paddy soil,Sterilized,DOC,344.53,3.04,335.44,1.0270987359885522
Paddy soil,Sterilized rewetting,DOC,337.87,5.52,335.44,1.0072442165513953
Paddy soil,OH-treated,DOC,272.72,1.68,335.44,0.8130217028380635
Sandy soil,Original,SUVA254,3.59,0.02,3.59,1
Sandy soil,Rewetting,SUVA254,5.62,0.02,3.59,1.5654596100278553
Sandy soil,Sterilized,SUVA254,3.26,0.01,3.59,0.9080779944289693
Sandy soil,Sterilized rewetting,SUVA254,4.32,0.03,3.59,1.2033426183844012
Sandy soil,OH-treated,SUVA254,20.05,0.29,3.59,5.584958217270195
Paddy soil,Original,SUVA254,2.3,0.04,2.3,1
Paddy soil,Rewetting,SUVA254,3.46,0.04,2.3,1.5043478260869567
Paddy soil,Sterilized,SUVA254,1.51,0.01,2.3,0.6565217391304349
Paddy soil,Sterilized rewetting,SUVA254,2.19,0.03,2.3,0.9521739130434783
Paddy soil,OH-treated,SUVA254,11.02,0.14,2.3,4.791304347826087
Sandy soil,Original,E2/E3,5.11,0.08,5.11,1
Sandy soil,Rewetting,E2/E3,4.62,0.11,5.11,0.9041095890410958
Sandy soil,Sterilized,E2/E3,4.63,0.09,5.11,0.9060665362035224
Sandy soil,Sterilized rewetting,E2/E3,4.5,0.05,5.11,0.8806262230919765
Sandy soil,OH-treated,E2/E3,3.94,0.18,5.11,0.7710371819960861
Paddy soil,Original,E2/E3,7.1,0.06,7.1,1
Paddy soil,Rewetting,E2/E3,4.92,0.17,7.1,0.6929577464788733
Paddy soil,Sterilized,E2/E3,5.36,0.59,7.1,0.7549295774647888
Paddy soil,Sterilized rewetting,E2/E3,5.37,0.23,7.1,0.7563380281690142
Paddy soil,OH-treated,E2/E3,5.05,0.21,7.1,0.7112676056338029
