soil,treatment,metric,value,error,original_value,response_index,effect,mechanism,label
Sandy soil,Rewetting,DOC,177.86,0.47,205.46,0.8656672831694734,0.1343327168305266,DOC depletion,0.13
Sandy soil,OH-treated,DOC,150.82,0.68,205.46,0.7340601576949284,0.2659398423050716,DOC depletion,0.27
Paddy soil,Rewetting,DOC,188.72,2.48,335.44,0.5626043405676127,0.43739565943238734,DOC depletion,0.44
Paddy soil,OH-treated,DOC,272.72,1.68,335.44,0.8130217028380635,0.18697829716193648,DOC depletion,0.19
Sandy soil,Rewetting,SUVA254,5.62,0.02,3.59,1.5654596100278553,0.5654596100278553,Aromatic enrichment,0.57
Sandy soil,OH-treated,SUVA254,20.05,0.29,3.59,5.584958217270195,4.584958217270195,Aromatic enrichment,4.58
Paddy soil,Rewetting,SUVA254,3.46,0.04,2.3,1.5043478260869567,0.5043478260869567,Aromatic enrichment,0.50
Paddy soil,OH-treated,SUVA254,11.02,0.14,2.3,4.791304347826087,3.7913043478260873,Aromatic enrichment,3.79
Sandy soil,Rewetting,E2/E3,4.62,0.11,5.11,0.9041095890410958,0.09589041095890416,Molecular restructuring,0.10
Sandy soil,OH-treated,E2/E3,3.94,0.18,5.11,0.7710371819960861,0.22896281800391394,Molecular restructuring,0.23
Paddy soil,Rewetting,E2/E3,4.92,0.17,7.1,0.6929577464788733,0.3070422535211267,Molecular restructuring,0.31
Paddy soil,OH-treated,E2/E3,5.05,0.21,7.1,0.7112676056338029,0.28873239436619713,Molecular restructuring,0.29
