treatment,time,gene,reads,pathway
LA,0.25,cNor,21.295431519999998,NO reduction
LA,0.25,napA,26.81943443,Nitrate reduction
LA,0.25,narG,276.9206678,Nitrate reduction
LA,0.25,nirK,205.50892000000002,Nitrite reduction
LA,0.25,nirS,18.25322702,Nitrite reduction
LA,0.25,nosZI,56.280783310000004,N₂O reduction
LA,0.25,nosZII,36.666570060000005,N₂O reduction
LA,0.25,qNor,132.816244,NO reduction
Ox,0.25,cNor,3.63,NO reduction
Ox,0.25,cNor,3.043644117,NO reduction
Ox,0.25,napA,7.009363520000001,Nitrate reduction
Ox,0.25,napA,8.69612605,Nitrate reduction
Ox,0.25,narG,39.25243571000001,Nitrate reduction
Ox,0.25,narG,55.65520672,Nitrate reduction
Ox,0.25,nirK,72.64999130999999,Nitrite reduction
Ox,0.25,nirK,63.33678473,Nitrite reduction
Ox,0.25,nirS,1.072020303,Nitrite reduction
Ox,0.25,nirS,1.4493543419999997,Nitrite reduction
Ox,0.25,nosZI,4.205618112000001,N₂O reduction
Ox,0.25,nosZI,4.130659874,N₂O reduction
Ox,0.25,nosZII,26.47065518,N₂O reduction
Ox,0.25,nosZII,27.610200210000002,N₂O reduction
Ox,0.25,qNor,49.89017564000001,NO reduction
Ox,0.25,qNor,40.726857,NO reduction
SA,0.25,cNor,2.346631774,NO reduction
SA,0.25,napA,20.1028122,Nitrate reduction
SA,0.25,narG,162.54336089999998,Nitrate reduction
SA,0.25,nirK,49.435709370000005,Nitrite reduction
SA,0.25,nirS,0.9386527100000001,Nitrite reduction
SA,0.25,nosZI,5.3972530800000005,N₂O reduction
SA,0.25,nosZII,17.05219089,N₂O reduction
SA,0.25,qNor,30.50621306,NO reduction
LA,1,cNor,12.6185364,NO reduction
LA,1,cNor,10.557169830000001,NO reduction
LA,1,napA,24.171871680000006,Nitrate reduction
LA,1,napA,40.62910815000001,Nitrate reduction
LA,1,narG,276.5425997,Nitrate reduction
LA,1,narG,274.0865228999999,Nitrate reduction
LA,1,nirK,93.73769898000002,Nitrite reduction
LA,1,nirK,63.74291180000001,Nitrite reduction
LA,1,nirS,12.12690511,Nitrite reduction
LA,1,nirS,10.957062630000001,Nitrite reduction
LA,1,nosZI,26.711966670000002,N₂O reduction
LA,1,nosZI,28.47236713,N₂O reduction
LA,1,nosZII,31.710218100000002,N₂O reduction
LA,1,nosZII,28.07247433,N₂O reduction
LA,1,qNor,58.913816049999994,NO reduction
LA,1,qNor,45.427821709999996,NO reduction
Ox,1,cNor,3.487267669,NO reduction
Ox,1,cNor,3.443269077,NO reduction
Ox,1,napA,7.212303588,Nitrate reduction
Ox,1,napA,10.329807230000002,Nitrate reduction
Ox,1,narG,67.36767087,Nitrate reduction
Ox,1,narG,78.60731355,Nitrate reduction
Ox,1,nirK,86.94392347000003,Nitrite reduction
Ox,1,nirK,113.20796870000001,Nitrite reduction
Ox,1,nirS,1.6643777510000002,Nitrite reduction
Ox,1,nirS,4.115126456999999,Nitrite reduction
Ox,1,nosZI,8.401144838000002,N₂O reduction
Ox,1,nosZI,10.833700270000001,N₂O reduction
Ox,1,nosZII,43.35307760999999,N₂O reduction
Ox,1,nosZII,61.97884338,N₂O reduction
Ox,1,qNor,64.98998836999999,NO reduction
Ox,1,qNor,101.9543575,NO reduction
SA,1,cNor,0.31563551799999995,NO reduction
SA,1,cNor,1.6985715010000002,NO reduction
SA,1,napA,4.971259413000002,Nitrate reduction
SA,1,napA,10.28082751,Nitrate reduction
SA,1,narG,67.38818316,Nitrate reduction
SA,1,narG,204.27557269999994,Nitrate reduction
SA,1,nirK,12.151967449999999,Nitrite reduction
SA,1,nirK,50.06316004000001,Nitrite reduction
SA,1,nirS,0.394544398,Nitrite reduction
SA,1,nirS,0.625789501,Nitrite reduction
SA,1,nosZI,1.262542073,N₂O reduction
SA,1,nosZI,5.542707004,N₂O reduction
SA,1,nosZII,3.6298084609999997,N₂O reduction
SA,1,nosZII,10.370226010000001,N₂O reduction
SA,1,qNor,5.5236215699999995,NO reduction
SA,1,qNor,21.902632519999994,NO reduction
LA,2,cNor,12.244182669999999,NO reduction
LA,2,cNor,16.63576243,NO reduction
LA,2,napA,47.99282316,Nitrate reduction
LA,2,napA,46.27613102000001,Nitrate reduction
LA,2,narG,229.90639430000002,Nitrate reduction
LA,2,narG,398.75162539999997,Nitrate reduction
LA,2,nirK,107.68321370000001,Nitrite reduction
LA,2,nirK,122.9526401,Nitrite reduction
LA,2,nirS,8.089906410000001,Nitrite reduction
LA,2,nirS,8.782331435,Nitrite reduction
LA,2,nosZI,26.12821124,N₂O reduction
LA,2,nosZI,29.218141120000002,N₂O reduction
LA,2,nosZII,16.39845894,N₂O reduction
LA,2,nosZII,14.18684309,N₂O reduction
LA,2,qNor,41.6520857,NO reduction
LA,2,qNor,50.07617828000001,NO reduction
Ox,2,cNor,4.867707661999999,NO reduction
Ox,2,cNor,7.856955951999999,NO reduction
Ox,2,napA,10.41860236,Nitrate reduction
Ox,2,napA,7.009637173000001,Nitrate reduction
Ox,2,narG,81.81164807,Nitrate reduction
Ox,2,narG,92.35774692,Nitrate reduction
Ox,2,nirK,130.4887247,Nitrite reduction
Ox,2,nirK,134.26151199999998,Nitrite reduction
Ox,2,nirS,3.6721303410000004,Nitrite reduction
Ox,2,nirS,2.618985317,Nitrite reduction
Ox,2,nosZI,12.041171579999997,N₂O reduction
Ox,2,nosZI,13.24898455,N₂O reduction
Ox,2,nosZII,109.7369183,N₂O reduction
Ox,2,nosZII,97.28760164000002,N₂O reduction
Ox,2,qNor,97.09795809,NO reduction
Ox,2,qNor,108.0716588,NO reduction
SA,2,cNor,5.487847797000001,NO reduction
SA,2,cNor,0.902889209,NO reduction
SA,2,napA,8.589674813000002,Nitrate reduction
SA,2,napA,10.38322591,Nitrate reduction
SA,2,narG,192.23374099999998,Nitrate reduction
SA,2,narG,111.6873952,Nitrate reduction
SA,2,nirK,144.5928594,Nitrite reduction
SA,2,nirK,34.309789959999996,Nitrite reduction
SA,2,nirS,3.0222929899999995,Nitrite reduction
SA,2,nirS,0.541733526,Nitrite reduction
SA,2,nosZI,16.62261144,N₂O reduction
SA,2,nosZI,3.250401154,N₂O reduction
SA,2,nosZII,45.891133030000006,N₂O reduction
SA,2,nosZII,7.764847199999999,N₂O reduction
SA,2,qNor,79.61356007,NO reduction
SA,2,qNor,11.286115119999998,NO reduction
