treatment,time,pathway,median_reads,q25,q75,scaled_reads,scaled_q25,scaled_q75
Ox,0.25,Nitrate reduction,23.974280880000002,8.274435417500001,43.3531284625,0,0,0
Ox,0.25,Nitrite reduction,32.393069536,1.3550208322499997,65.66508637499999,0.24650345982464034,0.01220236759806708,0.3212727283617209
Ox,0.25,NO reduction,22.178428500000003,3.48341102925,43.01768666000001,0.25280682666911264,0.04455142006848107,0.3504000208303043
Ox,0.25,N₂O reduction,15.338136646,4.1868785525,26.755541437500003,0.2121437869769412,0.029816328438683978,0.21362393149805853
Ox,1,Nitrate reduction,38.84873905,9.550431319500001,70.17758154,0.11151644923482003,0.015739374175708035,0.11594879171431519
Ox,1,Nitrite reduction,45.52952496350001,3.502439280499998,93.50993477750004,0.3710288374907689,0.045496104251408494,0.5244230690232695
Ox,1,NO reduction,34.2386280195,3.476268021,74.2310806525,0.41701462859512584,0.04440205598528298,0.6778670593646416
Ox,1,N₂O reduction,27.093388939999997,10.225561412000001,48.009519052499996,0.4440849907964269,0.1865344393526337,0.4405742735466253
Ox,2,Nitrate reduction,46.115125215000006,9.56636106325,84.4481727825,0.16599383420095906,0.015935867124479565,0.1776334719885485
Ox,2,Nitrite reduction,67.0804275205,3.408844085,131.431921525,0.5753179088287197,0.044044997321813856,0.8010941578709165
Ox,2,NO reduction,52.477457021000006,7.109643879499997,99.84138326749999,0.6653486644622959,0.12037786827962153,0.9465507518627203
Ox,2,N₂O reduction,55.268293095000004,12.947031307499998,100.39993080500001,1,0.2571630235746006,1
LA,0.25,Nitrate reduction,151.870051115,89.3447427725,214.39535945749998,0.9588572575722659,1,0.739330638305762
LA,0.25,Nitrite reduction,111.88107351000001,65.06715026500001,158.69499675500003,1,1,1
LA,0.25,NO reduction,77.05583776,49.17563464,104.93604088000002,1,1,1
LA,0.25,N₂O reduction,46.473676685,41.57012337250001,51.3772299975,0.8264746798920549,1,0.4765347494976797
LA,1,Nitrate reduction,157.35781552499998,36.51479903250001,274.70054209999995,1,0.34834410447388403,1
LA,1,Nitrite reduction,37.934908455000006,11.834444490000001,71.24160859500002,0.2990366251188843,0.1746761378240115,0.36195789828342123
LA,1,NO reduction,29.023179055,12.1031947575,48.799320295,0.34600275112716894,0.22479566015260016,0.4110564955731307
LA,1,N₂O reduction,28.27242073,27.732347415,29.281829872499998,0.4673482986246752,0.64087696642353,0.2405996832760199
LA,2,Nitrate reduction,138.94960873,47.563650125,272.117702075,0.8619904110054258,0.48463137724957506,0.9888356650096508
LA,2,Nitrite reduction,58.23277256750001,8.60922517875,111.5005703,0.49144767605835726,0.12467209576805549,0.6556790802711341
LA,2,NO reduction,29.143924065,15.53786749,43.758108845,0.3476467763900658,0.2966164849115983,0.358167963664247
LA,2,N₂O reduction,21.263335089999998,15.8455549775,26.900693709999995,0.3290530310832679,0.33238657224749457,0.21517386998438454
SA,0.25,Nitrate reduction,91.32308655,55.712949374999994,126.93322372499999,0.5049259329440378,0.585152758207401,0.36127525243684927
SA,0.25,Nitrite reduction,25.187181040000002,13.062916875,37.311445205000005,0.17819614577507115,0.19372246580234442,0.11441033933310461
SA,0.25,NO reduction,16.426422417,9.3865270955,23.466317738500003,0.17448935986209196,0.16798870144741893,0.1452820230388986
SA,0.25,N₂O reduction,11.224721984999997,8.310987532499997,14.138456437499997,0.1309825898865112,0.1368467162875949,0.0788984787722138
SA,1,Nitrate reduction,38.83450533499999,8.95343548575,101.61003054499996,0.1114097365506953,0.008375447070611367,0.25181566185037685
SA,1,Nitrite reduction,6.3888784755,0.56797822525,21.629765597500004,0,0,0
SA,1,NO reduction,3.6110965354999998,1.3528375052500001,9.618374307499998,0,0,0
SA,1,N₂O reduction,4.5862577325,3.037991864,6.749586755500001,0,0,0
SA,2,Nitrate reduction,61.035310554999995,9.93483813575,131.82398165,0.2778531081339076,0.020481021627058064,0.38241557057614517
SA,2,Nitrite reduction,18.666041475,2.4021531239999994,61.88055732,0.11637982312800386,0.028437185172231684,0.29366157545999605
SA,2,NO reduction,8.3869814585,4.34160815,28.367976357499998,0.06502691470314337,0.06249677609464288,0.19670647346091685
SA,2,N₂O reduction,12.19372932,6.636235688499999,23.9397418375,0.1501019351943553,0.0933829425892581,0.18355677447286192
